Entity,Code,Year,Geo_biomass,Hydro,Solar,Wind
Italy,ITA,2019,23.233,45.13992,24.326,20.063
Italy,ITA,2018,25.258,47.07006,22.6538,17.7164
Japan,JPN,2004,18.05346,91.667,1.271622,1.44
Italy,ITA,2013,22.7493,52.774,21.5886,14.897
Japan,JPN,2012,22.12998,77.09999,7.371903,4.727417
Spain,ESP,2013,5.290421,36.7799,13.11089,55.76713
France,FRA,2018,8.521197,63.92992,10.31839,28.08471
Spain,ESP,2014,5.414057,39.169,13.67303,52.013
United Kingdom,GBR,2018,34.76769,5.464661,12.85735,56.90396
Norway,NOR,2004,0.359,108.781,0.0062,0.259519
India,IND,2004,3.314363,100.636,0.018182,5.22543
Italy,ITA,2015,25.5807,44.1053,22.9422,14.8439
India,IND,2005,4.035136,97.42,0.018182,5.991
Italy,ITA,2016,25.7972,40.6068,22.1043,17.6887
Germany,DEU,2010,33.9517,20.953,11.729,38.547
Spain,ESP,2018,6.175547,34.79359,12.744,50.896
Spain,ESP,2016,5.66468,36.38527,13.6417,48.914
Japan,JPN,2005,21.686,77.5615,1.630088,1.91
Spain,ESP,2019,6.278232,25.23584,15.04171,56.17046
Sweden,SWE,2015,10.765,75.312,0.097,16.268
Italy,ITA,2017,25.5794,34.37274,24.3777,17.7419
Japan,JPN,2008,21.293,75.16437,2.593971,2.945
Japan,JPN,2007,22.198,74.50974,2.312468,2.74
Sweden,SWE,2019,13.12216,65.72142,0.586738,19.88286
United Kingdom,GBR,2017,31.78243,5.928124,11.47545,49.63305
Sweden,SWE,2012,12.194,78.939,0.019,7.165
Turkey,TUR,2018,10.08052,59.9385,7.7998,19.9492
Japan,JPN,2009,20.32575,70.46622,3.045513,3.427302
France,FRA,2016,7.639,60.043,8.16,21.4
Spain,ESP,2015,5.764167,28.14,13.85843,49.325
France,FRA,2013,5.388,70.716,4.735,16.033
Spain,ESP,2010,3.817644,42.0357,7.064429,43.68136
Germany,DEU,2009,30.9048,19.031,6.583,38.648
Sweden,SWE,2017,12.076,64.964,0.23,17.609
Germany,DEU,2008,27.8096,20.443,4.42,40.574
Italy,ITA,2012,18.0786,41.875,18.8617,13.4071
France,FRA,2014,5.818,62.83,5.913,17.249
Sweden,SWE,2018,11.913,62.05,0.391,16.623
France,FRA,2017,7.994646,49.22162,9.16276,24.31716
Turkey,TUR,2016,6.45323,67.2309,1.0431,15.5171
France,FRA,2015,6.453,54.444,7.262,21.249
Sweden,SWE,2016,11.48808,62.018,0.143,15.479
Vietnam,VNM,2017,0.076454,88.7621,0.009371,0.268292
Germany,DEU,2007,24.3634,21.169,3.075,39.713
Spain,ESP,2017,6.078,18.46551,14.32067,49.127
Turkey,TUR,2017,8.2515,58.2185,2.8893,17.9038
Spain,ESP,2012,4.977009,20.545,11.96591,49.472
Venezuela,VEN,2008,0,86.7129,0,0
Spain,ESP,2011,4.515,30.596,8.679536,42.433
Venezuela,VEN,2009,0,85.83926,0,0
Sweden,SWE,2014,10.696,63.763,0.047,11.234
Vietnam,VNM,2018,0.076454,84.48532,0.113493,0.310233
Sweden,SWE,2011,11.536,67.064,0.013,6.078
Turkey,TUR,2015,4.665543,67.14584,0.19412,11.65247
Venezuela,VEN,2013,0,83.405,0.005347,0
United Kingdom,GBR,2015,29.25898,6.297269,7.532864,40.27472
United Kingdom,GBR,2016,30.06035,5.616679,10.40793,37.15494
Venezuela,VEN,2011,0,83.15471,0.00298,0
Venezuela,VEN,2007,0,83.03442,0,0
France,FRA,2012,5.392,58.666,4.016,14.913
Italy,ITA,2011,16.4867,45.823,10.7957,9.8564
Sweden,SWE,2013,11.45,61.361,0.035,9.842
Sweden,SWE,2010,12.192,66.398,0.009,3.502
Venezuela,VEN,2012,0,81.73554,0.00522,0
Venezuela,VEN,2006,0,81.41334,0,0
Sweden,SWE,2008,10.337,68.997,0.004,1.996
Sweden,SWE,2005,7.491,72.692,0.002,0.949
Sweden,SWE,2009,11.46,65.414,0.007,2.485
Venezuela,VEN,2014,0,78.74673,0.006748,0
France,FRA,2010,4.917,62.714,0.62,9.945
Sweden,SWE,2007,9.836,66.163,0.003,1.43
Venezuela,VEN,2005,0,77.08849,0,0
Italy,ITA,2010,14.816,51.117,1.9057,9.1259
Venezuela,VEN,2010,0,76.65978,0.00246,0
France,FRA,2008,4.436,63.654,0.042,5.694
Spain,ESP,2009,3.408809,26.35248,6.066935,37.8869
Venezuela,VEN,2015,0,73.39693,0.008785,0.00126
Germany,DEU,2006,18.7004,20.0085,2.22,30.71
Sweden,SWE,2006,8.359,61.638,0.002,0.987
Vietnam,VNM,2019,0.076454,65.56335,4.1808,0.490908
Venezuela,VEN,2004,0,70.075,0,0
France,FRA,2009,4.578,56.994,0.174,7.912
Italy,ITA,2009,12.8987,49.138,0.677,6.543
Turkey,TUR,2013,2.242158,59.42051,0.006785,7.55745
Sweden,SWE,2004,7.201,60.588,0.002,0.85
Vietnam,VNM,2016,0.068,66.04757,0.006669,0.2098
France,FRA,2007,4.216,57.604,0.018,4.07
Turkey,TUR,2012,1.491272,57.86501,0.004258,5.86075
United Kingdom,GBR,2014,22.62125,5.887849,4.054062,31.95924
France,FRA,2011,5.48,44.791,2.078,12.052
France,FRA,2004,3.782,59.555,0.008448,0.595
Venezuela,VEN,2019,0,63.26722,0.011832,0.147867
Germany,DEU,2005,14.3542,19.639,1.282,27.229
France,FRA,2006,3.841,56.303,0.011906,2.182
Spain,ESP,2008,3.255,23.532,2.578,32.946
Vietnam,VNM,2014,0.059,62.16494,0.006669,0.0689
Venezuela,VEN,2016,0,61.69903,0.010036,0
Mexico,MEX,2019,7.751057,23.79044,12.43931,17.59845
Venezuela,VEN,2017,0,59.29624,0.010008,0
Spain,ESP,2007,2.898,27.233,0.508,27.568
Italy,ITA,2008,11.486,41.623,0.193,4.861
Turkey,TUR,2011,1.037141,52.33856,0.002862,4.7239
Vietnam,VNM,2013,0.058,57.81969,0.005896,0.0689
Vietnam,VNM,2015,0.07,57.17084,0.006669,0.1767
Venezuela,VEN,2018,0,56.98701,0.008896,0
Germany,DEU,2004,10.4712,20.096,0.557,25.509
France,FRA,2005,3.872,51.48,0.010501,0.962
Mexico,MEX,2018,6.994908,32.48556,3.18,13.08861
Turkey,TUR,2010,1.001144,51.79546,0.0024,2.91643
Australia,AUS,2019,3.575939,14.29388,17.95071,19.52446
Austria,AUT,2019,4.786633,40.73184,1.351576,7.435473
Italy,ITA,2004,9.657,42.338,0.029,1.847
Vietnam,VNM,2012,0.057,53.30537,0.005896,0.0407
United Kingdom,GBR,2013,18.10489,4.701509,2.010262,28.39715
Mexico,MEX,2014,7.136634,38.89277,0.221,6.426197
Turkey,TUR,2014,3.446564,40.6447,0.0174,8.52005
Spain,ESP,2006,2.774,25.89,0.119,23.297
Mexico,MEX,2017,7.73051,31.84766,1.186506,10.61978
Austria,AUT,2012,4.608037,43.8041,0.337483,2.462029
Austria,AUT,2017,4.920933,38.29343,1.268971,6.571511
Austria,AUT,2016,4.691227,39.84472,1.096016,5.234838
Spain,ESP,2004,3.33,31.676,0.056,15.7
Italy,ITA,2006,10.635,36.994,0.035,2.971
Austria,AUT,2013,4.584282,42.04653,0.625974,3.153232
Austria,AUT,2014,4.336296,41.01026,0.785246,3.845768
Austria,AUT,2018,4.85358,37.63801,1.437641,6.030429
Australia,AUS,2018,3.554348,17.35584,12.27924,16.41151
Mexico,MEX,2016,7.32844,30.69735,0.252276,10.37809
Italy,ITA,2005,9.998,36.067,0.031,2.343
Italy,ITA,2007,10.827,32.815,0.039,4.034
Mexico,MEX,2008,7.896158,39.22391,0.019,0.255
Austria,AUT,2015,4.503547,37.05553,0.937098,4.840343
Mexico,MEX,2015,7.441052,30.89154,0.246,8.745095
Austria,AUT,2009,4.277982,40.8963,0.048914,1.95404
Turkey,TUR,2004,0.1692,46.0837,0,0.0577
Mexico,MEX,2010,7.44605,37.15799,0.031,1.239111
Mexico,MEX,2011,7.366924,36.27042,0.041,1.648321
Austria,AUT,2010,4.46343,38.36342,0.088813,2.063914
Austria,AUT,2008,4.302304,38.32949,0.03012,2.011257
Turkey,TUR,2006,0.14785,44.2442,0,0.1305
Austria,AUT,2007,4.061607,37.05445,0.024238,2.037185
Mexico,MEX,2012,6.760935,31.91069,0.069,3.68831
Australia,AUS,2016,3.653227,17.6308,7.474811,13.02639
Spain,ESP,2005,2.653,17.872,0.041,21.176
United Kingdom,GBR,2012,14.738,5.309068,1.353764,19.84712
Vietnam,VNM,2011,0.056,41.07567,0.005896,0.0407
Austria,AUT,2005,2.437154,37.09514,0.021018,1.331277
Austria,AUT,2011,4.516752,34.23908,0.17407,1.936236
Austria,AUT,2006,3.237503,35.65608,0.022387,1.752793
Austria,AUT,2004,2.05973,36.76228,0.018,0.924
Turkey,TUR,2005,0.1284,39.5605,0,0.059
Mexico,MEX,2013,7.322261,28.02132,0.106,4.184544
Australia,AUS,2017,3.530613,13.50215,8.957433,13.19523
Turkey,TUR,2009,0.687389,35.9584,0,1.49537
Mexico,MEX,2006,7.487387,30.44647,0.01,0.045
Turkey,TUR,2007,0.254942,35.8508,0,0.3511
Mexico,MEX,2005,8.137519,27.70945,0.009,0.019
Mexico,MEX,2007,8.249913,27.33967,0.009,0.248
Australia,AUS,2015,3.678062,14.08528,6.206481,11.83847
Australia,AUS,2013,3.33165,19.089,3.8474,9.259
United Kingdom,GBR,2011,13.31379,5.69175,0.243663,15.96297
Mexico,MEX,2009,7.547069,26.72201,0.027,0.596353
Turkey,TUR,2008,0.304695,33.2698,0,0.8465
Australia,AUS,2014,3.546362,14.484,4.952,9.777
Mexico,MEX,2004,7.261834,25.17639,0.009,0.02
Australia,AUS,2011,2.57395,19.572,2.044547,6.432
Australia,AUS,2012,3.09785,17.036,2.412,7.725
Vietnam,VNM,2009,0.062,29.977,0,0.0116
Vietnam,VNM,2010,0.055,28.52437,0.005896,0.0407
United Kingdom,GBR,2010,12.26297,3.591376,0.040277,10.28564
Vietnam,VNM,2008,0.055,25.984,0,0.0017
United Kingdom,GBR,2009,10.71495,5.227893,0.02,9.280972
Vietnam,VNM,2007,0.079,22.437,0,0
Australia,AUS,2010,2.44155,13.746,0.977648,4.985
United Kingdom,GBR,2008,9.649278,5.141186,0.017,7.097248
Australia,AUS,2006,3.9325,14.9451,0.0975,2.1621
Australia,AUS,2005,3.871,15.4657,0.08405,1.29905
Australia,AUS,2007,4.275,13.04895,0.11375,2.8521
Australia,AUS,2009,2.7868,12.64205,0.290242,4.43775
Vietnam,VNM,2006,0.065,19.711,0,0
United Kingdom,GBR,2007,9.324501,5.077304,0.014,5.273818
Australia,AUS,2004,2.81525,15.68665,0.07295,0.795
Australia,AUS,2008,3.6961,11.81515,0.1392,3.45845
United Kingdom,GBR,2006,9.2769,4.593407,0.011,4.236
Vietnam,VNM,2004,0,17.818,0,0
United Kingdom,GBR,2005,9.1023,4.9229,0.008,2.912
Vietnam,VNM,2005,0.05,16.535,0,0
United Kingdom,GBR,2004,7.3639,4.84446,0.004,1.939
